text,left,top,width,height
KYYTTYÄ,1115,135,17,89
RYKYSTY,1130,130,19,99
NW,1151,176,13,35
KYYTI,988,274,14,50
N,1006,282,12,21
KRYTYN,998,325,17,65
LÄKYÖ,974,418,15,52
TYTY,979,331,29,133
LUETAAN,1010,335,21,107
AA,1005,291,29,34
TYYTYTTÖT,1025,277,25,123
OÄVYN,1051,321,15,51
HKKTYTYYÖN,968,474,36,147
14,971,630,14,23
Oana,986,561,22,119
UUTAA,1094,606,20,107
4,982,723,12,6
KIYTIN,1071,629,23,90
(a,1109,702,17,57
4,984,690,13,5
1,953,635,14,23
Uva,963,679,16,55
YETI,957,557,17,69
A,983,706,12,6
4,970,662,12,6
MÖKKI,959,479,27,68
4,1002,702,9,6
KKO,941,668,22,72
TT,1273,868,25,25
(Ana,1303,862,17,64
4,1288,906,8,5
AHV,1292,1020,28,64
AVA,1299,939,17,65
v,1296,1506,17,13
ml,1288,1478,39,16
mi,1288,1454,39,14
vil,1288,1428,39,21
a,1345,1499,17,13
ml,1336,1471,39,16
ml,1336,1447,39,17
val,1336,1421,39,21
ETEEN,1419,1413,19,89
v,1444,1486,18,13
mv,1441,1403,22,72
ETES,1469,1405,19,90
i,1290,1515,97,27
ll,1335,1689,33,18
ml,1335,1668,33,13
ml,1335,1639,33,17
mil,1335,1614,33,18
wi,1335,1591,33,16
ml,1335,1565,33,17
mil,1335,1540,33,17
il,1363,1588,32,10
mi),1367,1539,19,42
v),1363,1536,32,20
ml,1363,1515,32,17
vil,1363,1491,32,17
vil,1363,1464,32,20
vh,1363,1443,32,17
vi,1363,1416,32,22
|,1372,1665,9,2
valm,1366,1593,19,62
mi,1362,1588,29,16
EEEEEN),1407,1501,87,155
v,1493,1705,19,12
vill,1489,1402,28,289
v,1481,1576,47,12
ml,1481,1521,47,44
vd,1481,1462,47,28
v,1481,1399,47,44
Pn,1291,1549,21,114
lid,1510,1669,40,57
m,1510,1650,40,10
avi,1510,1594,40,40
al),1510,1544,40,40
villi,1520,1397,20,140
m,1547,1697,19,14
vw,1547,1645,19,40
m,1547,1619,19,14
mi!,1536,1564,41,42
vil,1536,1540,41,18
ml,1536,1516,41,15
vill,1536,1442,41,55
il,1536,1417,41,15
il,1536,1390,41,18
(|,1311,1666,32,7
vil,1311,1642,32,19
vill,1311,1594,32,41
illi,1311,1525,32,59
vil,1311,1498,32,17
kl,1321,1428,18,64
maililla,1387,1417,26,310
ll,1415,1682,19,42
s,1423,1662,9,10
vil,1407,1618,33,31
jil)i,1415,1532,21,92
