text,left,top,width,height
 ,3653,71,346,17
 ,3423,74,352,17
A.,3420,29,134,191
=],3437,235,14,14
|,3487,231,17,2
-,3679,220,7,22
se,3691,221,9,15
 ,1524,442,446,20
 ,696,491,338,12
 ,1360,502,312,15
HI,3414,252,138,333
|,3413,586,134,11
Raa,3414,637,26,64
|,3412,631,135,4
"""i",3415,472,128,115
18,3641,460,138,287
|,3648,238,133,21
|,3698,748,9,1
N,3730,746,9,3
Vapaata,1654,759,68,19
toimitilaa,1729,757,84,16
050,1680,780,29,14
439,1714,780,29,14
5943,1749,780,38,14
 ,1938,430,18,395
 ,1962,430,18,395
aj,3412,752,133,120
L,3638,793,136,131
|,3640,749,134,10
 ,119,559,16,406
 ,375,634,9,351
 ,117,559,27,529
 ,475,782,16,325
vasa,2007,1041,43,15
MS,2071,1041,26,13
4;,2137,1045,24,9
HANKO,2044,1068,68,17
[kää,1957,1062,155,55
E,1836,1120,112,53
TAPIOLA,2043,1130,82,27
PARK,2134,1130,50,17
J,1804,1173,3,11
v,1871,1197,39,16
Alun,1964,1204,30,23
E,1846,1239,49,10
13,2000,1225,51,30
+,2044,1212,12,48
METRO,2061,1228,67,17
r,1936,1245,14,15
"=="".",1404,1241,204,36
g.,1922,1264,17,3
HELSINKI,1762,1265,95,17
s.,1410,1298,195,5
211,1687,1273,63,25
HELSINGFORS,1762,1279,129,35
|,1903,1288,17,22
and,2010,1283,41,13
5,1806,1314,21,28
at,1921,1323,102,18
 ,115,559,36,607
 ,657,701,28,484
 ,1004,1649,1230,49
 ,2485,1361,11,378
 ,1031,1960,1123,46
HELSINKI,1460,1699,503,130
—,2316,1699,157,90
HELSINGFORS,1462,1841,752,92
[--.,2276,1881,210,91
(3,2753,1833,108,104
+,2943,1863,45,44
METRO,3042,1842,355,87
—,2475,2026,49,11
-,2832,2037,3,5
T,3121,2037,19,2
=,2831,2051,7,3
;,2970,2057,3,1
=,3048,2052,19,5
Merituulentie,3147,2055,112,17
Havsvindsvägen,3147,2081,149,21
Ssäaihmam,3311,2082,64,11
 ,3645,2462,345,12
yhteistyössä,750,2696,100,15
/,855,2696,9,15
|,869,2697,3,12
samarbete,878,2698,84,12
MST,722,2726,71,59
9,843,2737,21,20
KOIVISTON,884,2757,95,14
AUTO,984,2758,49,13
>,1042,2742,48,30
emm,779,2785,46,13
 ,728,2935,378,15
 ,0,0,4032,3024
