text,left,top,width,height
 ,164,942,377,13
 ,3182,1064,448,15
 ,785,1080,1,22
|,2531,1077,3,3
AINOA,3236,1097,113,21
PAIKKA,1309,1109,54,15
R,1531,1116,3,1
Hn,1659,1125,25,9
HERKUTELLA!,1287,1132,100,17
PALVELUT,3199,1153,54,9
KAMAT,3327,1161,53,7
Eua,336,1180,36,11
muon,3210,1197,35,7
oO,3337,1204,10,6
LIIKETTÄ,3352,1204,48,8
2,1274,1191,7,6
1,1584,1212,16,7
Tenysio,362,1188,57,34
",",497,1218,2,2
 ,0,0,3840,1402
Font,690,1458,42,21
 ,334,1710,39,24
 ,1576,1446,1575,456
 ,3714,1759,126,207
 ,108,2143,33,17
